236,claw,fingernail,RelatedTo
173,breast,milk,RelatedTo
149,sit,dwell,RelatedTo
124,fur,leather,RelatedTo
120,and,with,RelatedTo
119,burn,roast,RelatedTo
119,pumpkin,gourd,RelatedTo
110,pain,sick,RelatedTo
108,feather,hair,RelatedTo
106,easy,light,RelatedTo
100,this,here,RelatedTo
96,mosquito,sandfly,RelatedTo
96,good,beautiful,RelatedTo
92,axe,battle-axe
89,clever,wise,RelatedTo
89,room,house,RelatedTo
86,master,host,RelatedTo
84,boat,outrigger,RelatedTo
84,famine,hunger,RelatedTo
84,near,beside,RelatedTo
83,stingy,greedy,RelatedTo
81,chieftain,king,RelatedTo
80,catch,trap,RelatedTo
77,stretch,pull,RelatedTo
75,good,correct,RelatedTo
75,we,our,RelatedTo
74,tie,pull,RelatedTo
73,land,world,RelatedTo
73,limp,lame,RelatedTo
73,your,their,RelatedTo
72,embers,charcoal,RelatedTo
71,what,who,RelatedTo
69,earth,country,RelatedTo
67,voice,language,RelatedTo
67,feather,hair,RelatedTo
66,weather,air,RelatedTo
65,remain,dwell,RelatedTo
64,cooked,ripe,RelatedTo
64,swim,sail,RelatedTo
64,study,teach,RelatedTo
63,raw,unripe,RelatedTo
63,beard,chin,RelatedTo
63,count,read,RelatedTo
63,i,my,RelatedTo
63,ghost,demon,RelatedTo
61,vulture,eagle,RelatedTo
60,fire,tree,RelatedTo
60,big,wide,RelatedTo
59,seize,trap,RelatedTo
59,dirty,black,RelatedTo
55,earth,clay,RelatedTo
55,voice,word,RelatedTo
55,salty,bitter,RelatedTo
55,hut,house,RelatedTo
54,cross,idol,RelatedTo
53,beautiful,good-looking,RelatedTo
53,weave,sew,RelatedTo
53,bowl,cup,RelatedTo
52,child,descendants,RelatedTo
52,spoil,rot,RelatedTo
52,disappear,misplace,RelatedTo
52,granddaughter,niece,RelatedTo
51,burn,light,RelatedTo
51,bad,ugly,RelatedTo
49,leather,bark,RelatedTo
49,butter,oil,RelatedTo
49,breast,nipple,RelatedTo
49,count,calculate,RelatedTo
49,collar,neck,RelatedTo
49,take,hold,RelatedTo
48,dye,painting,RelatedTo
48,thread,rope,RelatedTo
48,flat,smooth,RelatedTo
48,count,think,RelatedTo
48,speak,tell,RelatedTo
47,cease,finish,RelatedTo
47,stupid,mad,RelatedTo
47,all,many,RelatedTo
47,how,what,RelatedTo
46,cave,hole,RelatedTo
46,study,read,RelatedTo
46,kiss,suck,RelatedTo
46,clear,light,RelatedTo
45,kettle,pot,RelatedTo
45,bitter,sour,RelatedTo
44,crooked,bend,RelatedTo
44,bite,eat,RelatedTo
44,find,meet,RelatedTo
44,now,today,RelatedTo
43,shut,cover,RelatedTo
43,ripe,red,RelatedTo
42,calm,silence,RelatedTo
42,tomorrow,morning,RelatedTo
41,mountain,stone,RelatedTo
41,dirty,garbage,RelatedTo
41,grandmother,grandchild,RelatedTo
41,big,many,RelatedTo
41,which,who,RelatedTo
41,afterwards,then,RelatedTo
40,leather,skin,RelatedTo
40,count,amount,RelatedTo
40,love,want,RelatedTo
39,fruit,heart,RelatedTo
39,faeces,guts,RelatedTo
39,split,chop,RelatedTo
38,follow,dispel,RelatedTo
38,book,letter,RelatedTo
38,carve,chop,RelatedTo
37,grind,press,RelatedTo
37,cultivate,plough,RelatedTo
37,deceive,swindle
37,late,afternoon,RelatedTo
36,egg,testicles,RelatedTo
36,grow,big,RelatedTo
36,want,intention,RelatedTo
36,dare,brave,RelatedTo
35,suck,drink,RelatedTo
35,condemn,convict,RelatedTo
35,word,affair,RelatedTo
35,edge,fringe,RelatedTo
35,they,you,RelatedTo
35,hear,know,RelatedTo
34,mow,cut,RelatedTo
34,feather,hair,RelatedTo
34,flee,retreat,RelatedTo
34,kill,strike,RelatedTo
34,carry,lead,RelatedTo
34,livestock,animal,RelatedTo
